,Commits,Issues,Pull Requests,Repository,Total
0,0,3,0,prospector,3
1,6,2,4,whitepaper,12
2,16,1,5,grimoirelab-toolkit,22
3,15,2,6,grimoirelab-kidash,23
4,18,1,7,grimoirelab-cereslib,26
5,16,3,8,wg-diversity-inclusion,27
6,10,10,12,grimoirelab-manuscripts,32
7,23,2,8,grimoirelab-perceval-puppet,33
8,24,1,8,grimoirelab-perceval-opnfv,33
9,20,6,10,grimoirelab-sigils,36
10,20,3,16,governance,39
11,28,3,14,grimoirelab-kingarthur,45
12,32,8,7,grimoirelab-tutorial,47
13,21,10,18,metrics,49
14,58,3,18,grimoirelab-perceval-mozilla,79
15,57,15,8,website,80
16,55,10,18,grimoirelab-sortinghat,83
17,61,3,22,grimoirelab-hatstall,86
18,66,0,22,grimoirelab-kibiter,88
19,80,23,25,grimoirelab,128
20,134,3,25,grimoirelab-bestiary,162
21,105,8,55,grimoirelab-mordred,168
22,227,18,92,grimoirelab-elk,337
23,277,22,82,grimoirelab-perceval,381
